,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
43,Tc,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.01,0.01,0.01,0.008,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,1,0.023,0.009,0.01,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.113,0.026,0,0.013,0.013,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,Ru,nan,0,0,0,0,0,0,0,0,0,0,0,0.011,0.01,0.006,0,0.003,0,0,0,0,0,0.022,0.01,0.025,0.041,0.06,0.075,0.053,0.025,0.007,0.003,0.006,0,0,0,0,0,0,0,0.006,0.014,0.019,0.023,1,0.09,0.04,0.012,0.006,0.004,0.018,0.01,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006,0.008,0.007,0.035,0.124,0.078,0.043,0.014,0,0,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,Rh,nan,0,0,0,0,0,0,0,0,0,0,0,0.012,0.027,0.014,0,0.008,0,0,0,0,0.004,0.012,0.014,0.036,0.027,0.049,0.079,0.07,0.043,0.014,0.018,0.014,0,0,0,0,0,0,0.004,0.002,0.002,0.013,0.009,0.09,1,0.092,0.022,0.008,0.017,0.011,0.008,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,0,0,0.008,0.049,0.122,0.09,0.035,0.011,0.015,0.011,0.006,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,Pd,nan,0,0,0.009,0,0,0,0,0,0,0,0,0.009,0.016,0.011,0,0,0,0,0,0.002,0.004,0.008,0.006,0.021,0.022,0.028,0.045,0.107,0.079,0.015,0.018,0.017,0,0,0,0,0,0,0.002,0.005,0.003,0.004,0.01,0.04,0.092,1,0.04,0.007,0.017,0.019,0.002,0.004,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.004,0.007,0.028,0.048,0.139,0.079,0.011,0.02,0.017,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,Ag,nan,0.015,0,0.017,0,0,0.022,0,0,0,0,0.045,0.021,0.012,0.004,0,0,0,0,0.015,0,0.004,0.005,0.005,0.009,0.016,0.01,0.01,0.016,0.125,0.022,0.01,0.005,0,0,0,0,0.01,0,0.004,0.003,0.003,0.004,0,0.012,0.022,0.04,1,0.034,0.013,0.003,0,0,0,0,0.009,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.004,0,0,0.012,0.013,0.019,0.127,0.03,0.018,0.006,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,Cd,nan,0,0,0.008,0.017,0.009,0,0,0,0,0,0.006,0.087,0.015,0.008,0,0.003,0,0,0,0.041,0.003,0.002,0.004,0,0.057,0.023,0.022,0.019,0.021,0.101,0.009,0.006,0,0,0,0,0,0.014,0.003,0,0,0,0,0.006,0.008,0.007,0.034,1,0.023,0.01,0,0.003,0,0,0.004,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.007,0.003,0.023,0.115,0.007,0.024,0.006,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,In,nan,0,0,0,0.006,0.009,0,0,0,0,0,0.003,0.021,0.104,0.011,0,0.003,0,0,0.004,0.002,0.028,0.01,0.013,0.021,0.008,0.015,0.007,0.007,0.006,0.016,0.116,0.019,0.003,0,0,0,0,0.002,0.014,0.006,0.003,0.007,0,0.004,0.017,0.017,0.013,0.023,1,0.079,0.011,0.004,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.013,0.017,0.009,0.019,0.106,0.057,0.007,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,Sn,nan,0,0,0,0.008,0,0.007,0,0,0,0,0,0.007,0.049,0.08,0.008,0.005,0,0,0,0.005,0.006,0.03,0.008,0.007,0.007,0.002,0.002,0.004,0,0.014,0.056,0.116,0.014,0.005,0,0,0,0.004,0.004,0.022,0.005,0.015,0,0.018,0.011,0.019,0.003,0.01,0.079,1,0.048,0.014,0,0,0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012,0.005,0.006,0.012,0.006,0.019,0.028,0.006,0.01,0.043,0.13,0.021,0.008,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,Sb,nan,0,0,0,0,0,0.019,0.074,0.026,0,0,0,0,0.012,0.023,0.114,0.04,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.004,0.013,0.034,0.198,0.039,0,0,0,0,0.001,0.002,0.016,0,0,0.01,0.008,0.002,0,0,0.011,0.048,1,0.072,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02,0,0.015,0.005,0.017,0.012,0.005,0,0.013,0.027,0.188,0.028,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,Te,nan,0,0,0,0,0,0.014,0.052,0.069,0,0,0,0,0.003,0,0.036,0.168,0,0,0,0,0.002,0.003,0,0,0.002,0,0,0,0,0.005,0,0.003,0.045,0.253,0.005,0,0,0,0.003,0.004,0,0.007,0,0.003,0.003,0.004,0,0.003,0.004,0.014,0.072,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.026,0.012,0.004,0.005,0.006,0,0.005,0.009,0.007,0.028,0.067,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,I,nan,0.057,0,0,0,0,0.012,0,0,0.098,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,Xe,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,Cs,nan,0,0,0.024,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.24,0.004,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0.449,0.006,0,0,0,0,0,0,0,0,0.009,0.004,0,0,0,0,0,0,1,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,Ba,nan,0,0,0,0.007,0,0,0,0,0,0,0.01,0.008,0,0,0,0,0,0,0.018,0.091,0.005,0.003,0,0,0.004,0.002,0,0.002,0,0.002,0.002,0,0,0,0,0,0.005,0.208,0.011,0.006,0,0,0,0,0,0,0.003,0.01,0,0.005,0,0,0,0,0.01,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004,0,0,0,0,0,0,0,0.009,0.003,0.047,0.003,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,La,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,Ce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,Pr,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,Nd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,Pm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,Sm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,Eu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,Gd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,Tb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,Dy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,Ho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,Er,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,Tm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,Yb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,Lu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,Hf,nan,0,0,0,0.009,0,0,0,0,0,0,0,0.007,0.007,0.004,0,0,0,0,0,0.002,0.037,0.073,0.026,0.01,0.018,0.005,0,0.002,0,0,0.003,0.003,0,0,0,0,0,0,0.013,0.162,0.056,0.015,0,0.006,0.002,0,0,0,0,0.012,0,0,0,0,0,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.043,0.007,0,0,0,0.005,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,Ta,nan,0,0,0,0,0,0,0,0,0,0,0,0.006,0.003,0,0,0,0,0,0,0.003,0.02,0.043,0.062,0.022,0.015,0.007,0.002,0.004,0,0.003,0,0,0,0,0,0,0,0.004,0.005,0.042,0.233,0.027,0,0.008,0,0,0.004,0,0,0.005,0.02,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.043,1,0.026,0.012,0.006,0.01,0.006,0.004,0,0,0,0.005,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,W,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01,0.025,0.035,0.008,0.011,0.006,0.005,0,0,0,0,0,0,0,0,0,0,0,0.007,0.031,0.256,0,0.007,0,0.004,0,0,0,0.006,0,0.026,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007,0.026,1,0.098,0.014,0,0.007,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,Re,nan,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.009,0.006,0.016,0.019,0.008,0.006,0.005,0,0,0,0,0,0,0,0,0,0,0,0.008,0.022,0.049,0.113,0.035,0.008,0.007,0,0,0,0.012,0.015,0.012,0.012,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.012,0.098,1,0.056,0.014,0.01,0.009,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,Os,nan,0,0,0,0,0,0,0,0,0,0,0,0.008,0.011,0.006,0,0,0,0,0,0,0,0.003,0,0.023,0.027,0.037,0.037,0.029,0.017,0.006,0.003,0.004,0,0,0,0,0,0,0,0,0.007,0.007,0.026,0.124,0.049,0.028,0.012,0,0,0.006,0.005,0.004,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006,0.014,0.056,1,0.069,0.043,0.021,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,Ir,nan,0,0,0,0,0.008,0,0,0,0,0,0,0.01,0.029,0.015,0,0.01,0,0,0,0,0,0.007,0.007,0.013,0.019,0.029,0.053,0.043,0.02,0.013,0.016,0.013,0,0,0,0,0,0,0,0.005,0.004,0.009,0,0.078,0.122,0.048,0.013,0.007,0.013,0.019,0.017,0.005,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01,0,0.014,0.069,1,0.097,0.023,0.014,0.015,0.017,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,Pt,nan,0,0,0,0.007,0,0,0,0.004,0,0,0,0.007,0.026,0.018,0,0.008,0,0,0,0,0.004,0.012,0.006,0.015,0.019,0.029,0.039,0.077,0.035,0.01,0.02,0.017,0,0.004,0,0,0,0,0.003,0.01,0.007,0.006,0.013,0.043,0.09,0.139,0.019,0.003,0.017,0.028,0.012,0.006,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005,0.006,0.007,0.01,0.043,0.097,1,0.062,0.005,0.02,0.023,0.003,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,Au,nan,0,0,0,0,0,0.02,0,0,0,0,0,0.012,0.012,0.016,0,0,0,0,0,0,0.003,0.003,0.003,0.012,0.012,0.013,0.018,0.037,0.111,0.011,0.017,0.02,0.003,0,0.005,0,0,0,0.003,0,0.003,0,0.013,0.014,0.035,0.079,0.127,0.023,0.009,0.006,0.005,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.004,0,0.009,0.021,0.023,0.062,1,0.031,0.007,0.005,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,Hg,nan,0,0,0,0.019,0.015,0,0,0,0,0,0,0.028,0.012,0.009,0,0.004,0,0,0,0.015,0,0.003,0,0,0.018,0.007,0.008,0.009,0.017,0.047,0.015,0.006,0,0,0,0,0,0.008,0.005,0,0,0,0,0,0.011,0.011,0.03,0.115,0.019,0.01,0,0.005,0,0,0,0.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.014,0.005,0.031,1,0.014,0.021,0.01,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,Tl,nan,0,0,0.018,0,0,0,0,0,0,0,0.022,0.013,0.036,0.009,0,0,0,0,0.091,0,0.008,0,0.004,0,0.003,0.004,0,0,0.006,0.015,0.042,0.012,0,0,0,0,0.075,0.003,0.007,0,0,0,0,0,0.015,0.02,0.018,0.007,0.106,0.043,0.013,0.009,0,0,0.06,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.015,0.02,0.007,0.014,1,0.053,0.012,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,Pb,nan,0,0,0,0,0,0,0,0,0,0,0.004,0.006,0.021,0.037,0,0.003,0,0,0,0.02,0.004,0.008,0.004,0,0.006,0.003,0.003,0.002,0,0.004,0.027,0.043,0.005,0.004,0,0,0,0.037,0.005,0.009,0.003,0.004,0,0.003,0.011,0.017,0.006,0.024,0.057,0.13,0.027,0.007,0,0,0,0.047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.017,0.023,0.005,0.021,0.053,1,0.028,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,Bi,nan,0,0,0,0,0,0.013,0.043,0.015,0,0,0,0,0,0.009,0.047,0.016,0,0,0,0.004,0.003,0.004,0.004,0.003,0,0.003,0.002,0.002,0,0,0.004,0.016,0.095,0.016,0,0,0,0,0.011,0,0,0.007,0,0,0.006,0,0.004,0.006,0.007,0.021,0.188,0.028,0,0,0,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005,0,0,0,0.004,0.003,0.004,0.01,0.012,0.028,1,0.019,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84,Po,nan,0,0,0,0,0,0,0.041,0.035,0,0,0,0,0,0,0.028,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.028,0.067,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.019,1,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,At,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,Rn,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
